Title,Date,Category,Link,Agency
Kansas Chiropractor to Pay $1 Million-plus To Settle False Claim Allegations,2017-05-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kansas-chiropractor-to-pay-1-million-plus-to-settle-false-claim-allegations/,U.S. Attorney
"Poplar Healthcare to Pay Nearly $900,000 to Resolve A False Claims Act Allegations",2017-05-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/poplar-healthcare-to-pay-nearly-900000-to-resolve-a-false-claims-act-allegations/,U.S. Attorney
Wilson Co. Woman Charged with TennCare Fraud,2017-05-01,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/wilson-co-woman-charged-with-tenncare-fraud/,Tennessee Department of Finance and Administration
Illinois Skilled Nursing Facilities Settle Case Involving Excluded Individual,2017-05-30,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/illinois-skilled-nursing-facilities-settle-case-involving-excluded-individual/,No agency found
Mental Health Services Company Agrees to Permanent Exclusion,2017-05-30,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/mental-health-services-company-agrees-to-permanent-exclusion/,No agency found
Bristol Woman Convicted of Defrauding Medicaid Program,2017-05-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/bristol-woman-convicted-of-defrauding-medicaid-program/,U.S. Attorney
Minnesota Mental Health Nonprofit And Its Leaders To Pay $4.5 Million To Resolve Fraud Allegations,2017-05-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/minnesota-mental-health-nonprofit-and-its-leaders-to-pay-45-million-to-resolve-fraud-allegations/,U.S. Attorney
Medicare Advantage Organization and Former Chief Operating Officer to Pay $32.5 Million to Settle False Claims Act Allegations,2017-05-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medicare-advantage-organization-and-former-chief-operating-officer-to-pay-325-million-to-settle-false-claims-act-allegations/,U.S. Department of Justice
Rhea Co. Man Charged 2nd Time with TennCare Fraud,2017-05-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/rhea-co-man-charged-2nd-time-with-tenncare-fraud/,Tennessee Department of Finance and Administration
Sequatchie Co. Woman Charged with TennCare Drug Fraud,2017-05-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/sequatchie-co-woman-charged-with-tenncare-drug-fraud/,Tennessee Department of Finance and Administration
Williamson Co. Woman Charged with TennCare Drug Fraud,2017-05-30,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/williamson-co-woman-charged-with-tenncare-drug-fraud-2/,Tennessee Department of Finance and Administration
A.G. Schneiderman Announces Sentencing Of Long Island Resident Who Stole $75K From Medicaid,2017-05-26,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-schneiderman-announces-sentencing-of-long-island-resident-who-stole-75k-from-medicaid/,New York Attorney General
Rutledge Announces Benton County Man Sentenced for Property Theft and Failure to Maintain Records,2017-05-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/rutledge-announces-benton-county-man-sentenced-for-property-theft-and-failure-to-maintain-records/,Arkansas Attorney General
"Albany Physician Pays $100,000 And Agrees To 15-Year Period Of Exclusion From Medicare For Submitting False Claims",2017-05-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/albany-physician-pays-100000-and-agrees-to-15-year-period-of-exclusion-from-medicare-for-submitting-false-claims/,U.S. Attorney
Houston-Area Psychiatrist Convicted of Health Care Fraud for Role in $158 Million Medicare Fraud Scheme,2017-05-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/houston-area-psychiatrist-convicted-of-health-care-fraud-for-role-in-158-million-medicare-fraud-scheme/,U.S. Department of Justice
Attorney General Laxalt Announces Sentencing of Behavioral Health Provider,2017-05-23,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-laxalt-announces-sentencing-of-behavioral-health-provider/,Nevada Attorney General
"United States Reaches $291,288 Civil Settlement with Dr. Sherry Ma and Aima Neurology, LLC Related to Botox® and Myobloc® Injections",2017-05-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-reaches-291288-civil-settlement-with-dr-sherry-ma-and-aima-neurology-llc-related-to-botox-and-myobloc-injections/,U.S. Attorney
Minden Woman Arrested for Stealing Nearly $400k from Elderly Residents,2017-05-22,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/minden-woman-arrested-for-stealing-nearly-400k-from-elderly-residents/,Louisiana Attorney General
Hamilton Co. Woman Charged with TennCare Drug Fraud,2017-05-22,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/hamilton-co-woman-charged-with-tenncare-drug-fraud/,Tennessee Department of Finance and Administration
Farmington Hills Doctor Sentenced to 19 Years in Prison for Distributing Prescription Drugs and Health Care Fraud,2017-05-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/farmington-hills-doctor-sentenced-to-19-years-in-prison-for-distributing-prescription-drugs-and-health-care-fraud/,U.S. Attorney
Medical Resident Pleads Guilty to Fraudulently Obtaining Prescription Opioid Pain Medications,2017-05-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-resident-pleads-guilty-to-fraudulently-obtaining-prescription-opioid-pain-medications/,U.S. Attorney
A.G. Schneiderman Announces Guilty Plea And Sentencing Of Two Individuals For Stealing From Medicaid,2017-05-19,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-schneiderman-announces-guilty-plea-and-sentencing-of-two-individuals-for-stealing-from-medicaid/,New York Attorney General
Sullivan Co. Woman Charged with TennCare Fraud,2017-05-19,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/sullivan-co-woman-charged-with-tenncare-fraud/,Tennessee Department of Finance and Administration
Final Group Of Physicians And Owner Of Medical Practice Plead Guilty In Medical Kickback Scheme,2017-05-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/final-group-of-physicians-and-owner-of-medical-practice-plead-guilty-in-medical-kickback-scheme/,U.S. Attorney
New York Doctor Pleads Guilty In Connection With Test-Referral Scheme With New Jersey Clinical Lab,2017-05-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-york-doctor-pleads-guilty-in-connection-with-test-referral-scheme-with-new-jersey-clinical-lab/,U.S. Attorney
Missouri Hospitals Agree to Pay United States $34 Million to Settle Alleged False Claims Act Violations Arising from Improper Payments to Oncologists,2017-05-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missouri-hospitals-agree-to-pay-united-states-34-million-to-settle-alleged-false-claims-act-violations-arising-from-improper-payments-to-oncologists/,U.S. Department of Justice
Manatee County Resident Arrested Again for Grand Theft and Exploitation of a Disabled Adult,2017-05-18,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/manatee-county-resident-arrested-again-for-grand-theft-and-exploitation-of-a-disabled-adult/,Florida Attorney General
Dickson County Woman Charged with TennCare Drug Fraud in Two Counties,2017-05-18,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/dickson-county-woman-charged-with-tenncare-drug-fraud-in-two-counties/,Tennessee Department of Finance and Administration
New York Physician Agrees to Another Voluntary Exclusion,2017-05-17,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/new-york-physician-agrees-to-another-voluntary-exclusion/,No agency found
"Cleveland Heights woman sentenced to 10 years in prison, son to seven years for $8 million home healthcare fraud",2017-05-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cleveland-heights-woman-sentenced-to-10-years-in-prison-son-to-seven-years-for-8-million-home-healthcare-fraud/,U.S. Attorney
Attorney General Laxalt Announces Sentencing of Group Home Owner,2017-05-17,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-laxalt-announces-sentencing-of-group-home-owner/,Nevada Attorney General
Missouri Physician and Practice Settle Case Involving Kickbacks,2017-05-16,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/missouri-physician-and-practice-settle-case-involving-kickbacks-2/,No agency found
Omnicare Inc. Agrees To $8 Million Settlement In False Claims Act Case,2017-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/omnicare-inc-agrees-to-8-million-settlement-in-false-claims-act-case/,U.S. Attorney
United States Intervenes in Second False Claims Act Lawsuit Alleging that UnitedHealth Group Inc. Mischarged the Medicare Advantage and Prescription Drug Programs,2017-05-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-intervenes-in-second-false-claims-act-lawsuit-alleging-that-unitedhealth-group-inc-mischarged-the-medicare-advantage-and-prescription-drug-programs/,U.S. Department of Justice
"UnityPoint at Home Agreed to Pay $18,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2017-05-16,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/unitypoint-at-home-agreed-to-pay-18000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,No agency found
Ludlow Doctor Sentenced to Jail for Illegally Prescribing Opioids to At-Risk Patients,2017-05-16,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ludlow-doctor-sentenced-to-jail-for-illegally-prescribing-opioids-to-at-risk-patients/,Massachusetts Attorney General
California Dentist Settles Case Involving Medically Unnecessary Claims,2017-05-15,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/california-dentist-settles-case-involving-medically-unnecessary-claims/,No agency found
New York Physician Agrees to Voluntary Exclusion,2017-05-15,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/new-york-physician-agrees-to-voluntary-exclusion/,No agency found
Georgia Hospital Settles Case Involving Patient Dumping Allegation,2017-05-12,CMP and Affirmative Exclusions and EMTALA/Patient Dumping,https://oig.hhs.gov/fraud/enforcement/georgia-hospital-settles-case-involving-patient-dumping-allegation-7/,No agency found
Former Administrative Law Judge Pleads Guilty for Role in $550 Million Social Security Disability Fraud Scheme,2017-05-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-administrative-law-judge-pleads-guilty-for-role-in-550-million-social-security-disability-fraud-scheme/,U.S. Department of Justice
Acting U.S. Attorney Announces $54 Million Settlement Of Civil Fraud Lawsuit Against Benefits Management Company For Improper Authorization Of Medical Procedures,2017-05-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/acting-us-attorney-announces-54-million-settlement-of-civil-fraud-lawsuit-against-benefits-management-company-for-improper-authorization-of-medical-procedures/,U.S. Attorney
Chicago Dermatologist Convicted on Federal Fraud Charges for Billing Health Insurance Programs for Medically Unnecessary Treatments,2017-05-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chicago-dermatologist-convicted-on-federal-fraud-charges-for-billing-health-insurance-programs-for-medically-unnecessary-treatments/,U.S. Attorney
Patient Marketer For All-Star Medical Supply Sentenced To Prison For Health Care Fraud,2017-05-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/patient-marketer-for-all-star-medical-supply-sentenced-to-prison-for-health-care-fraud/,U.S. Attorney
South Florida Doctor Convicted of Sixty-Seven Criminal Counts Related to Medicare Fraud Scheme,2017-04-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-florida-doctor-convicted-of-sixty-seven-criminal-counts-related-to-medicare-fraud-scheme/,U.S. Attorney
Blood Testing Laboratory to Pay $6 Million to Settle Allegations of Kickbacks and Unnecessary Testing,2017-04-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/blood-testing-laboratory-to-pay-6-million-to-settle-allegations-of-kickbacks-and-unnecessary-testing/,U.S. Department of Justice
"Madison Parish Hospital Agreed to Pay $1.8 Million for Allegedly Violating the Civil Monetary Penalties Law by Receiving Equipment and Services Below Fair Market Value, Providing Space and Services Below Fair Market Value, and Other Conduct",2017-04-28,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/madison-parish-hospital-agreed-to-pay-18-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-receiving-equipment-and-services-below-fair-market-value-providing-space-and-services-below-fair-market-value-and-other-conduct/,No agency found
Attorney General Jeff Landry Makes Three Medicaid Fraud Arrests,2017-04-28,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jeff-landry-makes-three-medicaid-fraud-arrests/,Louisiana Department of Justice
Attorney General Laxalt Announces Sentencing of Meadow Valley Pharmacy Manager for Insurance and Medicaid Fraud of $1.5 Million,2017-04-28,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-laxalt-announces-sentencing-of-meadow-valley-pharmacy-manager-for-insurance-and-medicaid-fraud-of-15-million/,Nevada Attorney General
Louisville Based Physician Settles Federal False Claims Act And State Civil Claims,2017-04-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/louisville-based-physician-settles-federal-false-claims-act-and-state-civil-claims/,U.S. Attorney
Torrington Woman Sentenced to 21 Months in Federal Prison for Health Care Fraud,2017-04-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/torrington-woman-sentenced-to-21-months-in-federal-prison-for-health-care-fraud/,U.S. Attorney
Indiana University Health and HealthNet to Pay $18 Million to Resolve Allegations of False Claims,2017-04-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/indiana-university-health-and-healthnet-to-pay-18-million-to-resolve-allegations-of-false-claims/,U.S. Department of Justice
Hillsborough County Woman Arrested for Abuse of a Disabled Adult,2017-04-27,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/hillsborough-county-woman-arrested-for-abuse-of-a-disabled-adult/,Florida Attorney General
White Co. Woman Charged with TennCare Fraud in Two Counties,2017-04-27,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/white-co-woman-charged-with-tenncare-fraud-in-two-counties/,Tennessee Department of Finance and Administration
Pharmacist Pleads Guilty To Conspiracy To Pay Healthcare Kickbacks,2017-04-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-pleads-guilty-to-conspiracy-to-pay-healthcare-kickbacks/,Middle District of Florida
Oxygen Equipment Provider Pays $11.4 Million to Resolve False Claims Act Allegations,2017-04-25,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oxygen-equipment-provider-pays-114-million-to-resolve-false-claims-act-allegations/,U.S. Department of Justice
Knox County Woman Must Repay TennCare,2017-04-25,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/knox-county-woman-must-repay-tenncare/,Tennessee Department of Finance and Administration
Chandler Man Sentenced to Prison for Health Care Fraud and Identity Theft,2017-04-25,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/chandler-man-sentenced-to-prison-for-health-care-fraud-and-identity-theft/,U.S. Attorney
"Ambulance Service of Fulton County Agreed to Pay $150,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Transportation Services without the Required Beneficiary Signatures",2017-04-24,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/ambulance-service-of-fulton-county-agreed-to-pay-150000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-transportation-services-without-the-required-beneficiary-signatures/,No agency found
Davidson Co. Woman Charged with TennCare Fraud,2017-04-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/davidson-co-woman-charged-with-tenncare-fraud/,Tennessee Department of Finance and Administration
Ambulance Company Owner and Brother Sentenced in $6 Million Health Care Fraud Conspiracy,2017-04-24,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ambulance-company-owner-and-brother-sentenced-in-6-million-health-care-fraud-conspiracy/,U.S. Attorney
"Samaritan North Lincoln Hospital Agreed to Pay $60,000 for Allegedly Violating the Civil Monetary Penalties Law by Providing Remuneration to a Medical Practice in the Form of  Free Office Space",2017-04-21,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/samaritan-north-lincoln-hospital-agreed-to-pay-60000-for-allegedly-violating-the-civil-monetary-penalties-law-by-providing-remuneration-to-a-medical-practice-in-the-form-of-free-office-space/,No agency found
"Samaritan Pacific Health Services Agreed to Pay $263,000 for Allegedly Violating the Civil Monetary Penalties Law by Providing Remuneration to a Medical Practice in the Form of Free Office Space",2017-04-21,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/samaritan-pacific-health-services-agreed-to-pay-263000-for-allegedly-violating-the-civil-monetary-penalties-law-by-providing-remuneration-to-a-medical-practice-in-the-form-of-free-office-space/,No agency found
Beshear: Somerset Doctor Receives 5-Year Sentence on Medicaid Fraud,2017-04-21,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/beshear-somerset-doctor-receives-5-year-sentence-on-medicaid-fraud/,Kentucky Attorney General
Health Care Administrator Agrees to Voluntary Exclusion,2017-04-20,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/health-care-administrator-agrees-to-voluntary-exclusion/,No agency found
Encino Dermatologist Pays Nearly $2.7 Million to Resolve Allegations He Billed Medicare for Unnecessary Mohs Skin Cancer Surgeries,2017-04-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/encino-dermatologist-pays-nearly-27-million-to-resolve-allegations-he-billed-medicare-for-unnecessary-mohs-skin-cancer-surgeries/,U.S. Attorney
Owner of Independence Clinic Pleads Guilty to Health Care Fraud Scheme,2017-04-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-independence-clinic-pleads-guilty-to-health-care-fraud-scheme/,U.S. Attorney
Walgreen Co. Pays $9.86M to Settle Allegations of Improper Medi Cal Billings,2017-04-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/walgreen-co-pays-986m-to-settle-allegations-of-improper-medi-cal-billings/,U.S. Attorney
"Dr. David Yoon Agreed to Pay $379,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services without Proper Supervision",2017-04-20,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/dr-david-yoon-agreed-to-pay-379000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-without-proper-supervision/,No agency found
Topeka Woman Sentenced For Health Care Fraud Involving Developmentally Disabled Adults,2017-04-20,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/topeka-woman-sentenced-for-health-care-fraud-involving-developmentally-disabled-adults/,U.S. Attorney
Attorney General Jeff Landry Arrests Two for Medicaid Fraud,2017-04-19,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jeff-landry-arrests-two-for-medicaid-fraud/,Louisiana Attorney General
Connecticut Hospital Settles False and Fraudulent Medicare Claims Case,2017-04-18,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/connecticut-hospital-settles-false-and-fraudulent-medicare-claims-case-2/,No agency found
Connecticut Hospital Settles False and Fraudulent Medicare Claims Case,2017-04-18,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/connecticut-hospital-settles-false-and-fraudulent-medicare-claims-case/,No agency found
Texas Independent Diagnostic Testing Facility Settles False and Fraudulent Medicare Claims Case,2017-04-18,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/texas-independent-diagnostic-testing-facility-settles-false-and-fraudulent-medicare-claims-case/,No agency found
Hospice Companies To Pay $12.2 Million To Settle Kickback Claims,2017-04-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hospice-companies-to-pay-122-million-to-settle-kickback-claims/,U.S. Attorney
"Pittsburgh Doctor and His Employee Charged with Illegal Rx Drug Distribution, Health Care Fraud",2017-04-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pittsburgh-doctor-and-his-employee-charged-with-illegal-rx-drug-distribution-health-care-fraud/,U.S. Attorney
"Allergy Partners Agreed to Pay $14,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Allergy Injections Services without Proper Supervision",2017-04-18,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/allergy-partners-agreed-to-pay-14000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-allergy-injections-services-without-proper-supervision/,No agency found
"Pafford Medical Services Agreed to Pay $390,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2017-04-18,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/pafford-medical-services-agreed-to-pay-390000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/,No agency found
"Smart Clinic Agreed to Pay $24,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Chronic Care Services that Were Not Provided as Claimed",2017-04-18,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/smart-clinic-agreed-to-pay-24000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-chronic-care-services-that-were-not-provided-as-claimed/,No agency found
"Complete Family Care, P.C. Pays $250,000 to Settle Medicaid Fraud",2017-04-18,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/complete-family-care-pc-pays-250000-to-settle-medicaid-fraud/,Maryland Attorney General
Dothan Woman Sentenced For Medicaid Fraud,2017-04-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dothan-woman-sentenced-for-medicaid-fraud/,U.S. Attorney
"Anchorage Dentist Criminally Charged for Defrauding the Alaska Medicaid Program, Diverting Funds from his Prior Employers, and Unlawful Dental Acts",2017-04-17,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/anchorage-dentist-criminally-charged-for-defrauding-the-alaska-medicaid-program-diverting-funds-from-his-prior-employers-and-unlawful-dental-acts/,Alaska Department of Law
Mental Health Services Company Owner Agrees to Voluntary Exclusion,2017-04-14,CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/mental-health-services-company-owner-agrees-to-voluntary-exclusion/,No agency found
Adoption Counselor Convicted of Stealing Personal Information from Former Employer,2017-04-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/adoption-counselor-convicted-of-stealing-personal-information-from-former-employer/,U.S. Attorney
Home Health Care Owners Indicted for Fraud,2017-04-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/home-health-care-owners-indicted-for-fraud/,U.S. Attorney
Detroit Podiatrist Charged for Role in $13.9 Million Medicare Fraud Scheme,2017-04-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/detroit-podiatrist-charged-for-role-in-139-million-medicare-fraud-scheme/,U.S. Department of Justice
Attorney General Chris Carr Announces Two Sentenced for Medicaid Fraud in Cobb County,2017-04-13,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-chris-carr-announces-two-sentenced-for-medicaid-fraud-in-cobb-county/,Georgia Attorney General
A.G. Schneiderman Announces Arrest Of Oswego Nurse For Allegedly Causing A Nursing Home Resident's Rib Fracture,2017-04-13,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-schneiderman-announces-arrest-of-oswego-nurse-for-allegedly-causing-a-nursing-home-residents-rib-fracture/,New York Attorney General
"Bristol, Virginia Man Pleads Guilty to Conspiracy to Commit Healthcare Fraud",2017-04-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/bristol-virginia-man-pleads-guilty-to-conspiracy-to-commit-healthcare-fraud/,U.S. Attorney
Mount Pleasant Speech Pathologist Charged in Health Fraud Scheme,2017-04-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/mount-pleasant-speech-pathologist-charged-in-health-fraud-scheme/,U.S. Attorney
Owner of Durable Medical Equipment Company Indicted for Health Care Fraud and Related Offenses,2017-04-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-durable-medical-equipment-company-indicted-for-health-care-fraud-and-related-offenses/,U.S. Attorney
Pharmacist Pleads Guilty To Conspiracy To Pay Healthcare Kickbacks,2017-04-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-pleads-guilty-to-conspiracy-to-pay-healthcare-kickbacks-2/,U.S. Attorney
"Oklahoma Hospital, Former Hospital Administrator, and Physicians Agree to Pay $1,618,750 to Settle Allegations of Submitting False Claims for Medical Services Provided to Medicare Patients",2017-04-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oklahoma-hospital-former-hospital-administrator-and-physicians-agree-to-pay-1618750-to-settle-allegations-of-submitting-false-claims-for-medical-services-provided-to-medicare-patients/,U.S. Attorney
Five RGV Residents Charged With Medicare Fraud and Illegal Kickbacks,2017-04-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/five-rgv-residents-charged-with-medicare-fraud-and-illegal-kickbacks/,U.S. Attorney
Prestige Healthcare Agrees to Pay Nearly $1 Million for Role in Alleged False Billing of Genetic Testing,2017-04-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prestige-healthcare-agrees-to-pay-nearly-1-million-for-role-in-alleged-false-billing-of-genetic-testing/,U.S. Attorney
UPDATE: Two More Arrested in Medicaid Fraud Scheme,2017-04-10,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/update-two-more-arrested-in-medicaid-fraud-scheme/,Florida Attorney General
"Two Shelby Co. Residents Must Repay TennCare Nearly $50,000",2017-04-07,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/two-shelby-co-residents-must-repay-tenncare-nearly-50000/,Tennessee Department of Finance and Administration
Coral Gables Woman Sentenced For Skimming Social Security And Medicaid Benefits From Mentally Ill And Elderly Beneficiaries,2017-04-06,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/coral-gables-woman-sentenced-for-skimming-social-security-and-medicaid-benefits-from-mentally-ill-and-elderly-beneficiaries/,U.S. Attorney
"Board of Trustees of the University of Illinois Agreed to Pay $39,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Neurosurgical Procedures in the Name of the Wrong Physician",2017-04-06,Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/board-of-trustees-of-the-university-of-illinois-agreed-to-pay-39000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-neurosurgical-procedures-in-the-name-of-the-wrong-physician/,No agency found
"Metairie Doctor Pleads Guilty to Operating a Pill Mill, Threatening Federal Law Enforcement and Health Care Fraud",2017-04-05,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/metairie-doctor-pleads-guilty-to-operating-a-pill-mill-threatening-federal-law-enforcement-and-health-care-fraud/,U.S. Attorney
Gresham Medical Practice Manager Sentenced to Prison for False Billing and Tax Fraud,2017-04-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/gresham-medical-practice-manager-sentenced-to-prison-for-false-billing-and-tax-fraud/,U.S. Attorney
"Six Home Healthcare Workers and Patients Charged with Billing Medicaid while Working other Jobs, Going on a Cruise, and Gambling",2017-04-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/six-home-healthcare-workers-and-patients-charged-with-billing-medicaid-while-working-other-jobs-going-on-a-cruise-and-gambling/,U.S. Attorney
Ludlow Doctor Pleads Guilty in Connection with Illegally Prescribing Opioids to At-risk Patients,2017-04-04,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ludlow-doctor-pleads-guilty-in-connection-with-illegally-prescribing-opioids-to-at-risk-patients/,Massachusetts Attorney General
"Bergen County Nurse Charged with Assault on a Disabled Person After Video Purportedly Shows Her Striking a Ventilator-Dependent, Bed-Bound Patient",2017-04-04,State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/bergen-county-nurse-charged-with-assault-on-a-disabled-person-after-video-purportedly-shows-her-striking-a-ventilator-dependent-bed-bound-patient/,New Jersey Department of Law & Public Safety
